,x,y,riv_order,upland_drainage_area
83898,-76.5078233025465,-5.111976316060998,6.0,98.977
1465816,-63.9652264384443,-3.782960438122999,2.0,1734836.9
88588,-76.44670267150829,-4.079752161275,3.0,32492.951
439436,-73.0722004631361,-0.6120900429769995,3.0,61866.008
2053775,-58.461152769688496,-13.967717584816999,6.0,51.863
1784245,-61.1794124132295,-4.245606359506999,6.0,207.193
1696576,-61.9225106116413,-5.000679419878999,6.0,310.865
574717,-71.7757997100627,-2.1702465895249996,4.0,13084.613
931548,-68.59752689607629,-2.724548778353,6.0,116.213
2531033,-52.7769340831359,-1.4457256183009997,4.0,38846.445
15278,-77.65624779100109,-3.5734603982509996,6.0,25.28
2303458,-55.6463868666135,0.9700717164730004,5.0,1329.368
2128146,-57.6311989376961,-6.956013125350999,6.0,141.888
478101,-72.7151273028603,-1.8014392276669997,6.0,30.038
2837291,-48.8652136966911,-5.367304489654998,6.0,279.265
1979826,-59.313624728905495,-7.9795081118089985,5.0,684.47
2015656,-58.898647812909296,-11.252946234808999,6.0,257.596
2831700,-48.961719956225096,-11.820342176128998,6.0,205.253
2309489,-55.5820493602575,-3.693486462760999,6.0,42.628
53381,-76.9260170938605,-1.2318609942649998,6.0,21.461
1990872,-59.1849497161935,0.10151946783700039,6.0,150.26
425092,-73.20730922648369,-1.519923549088999,6.0,22.532
2268181,-56.054930031974095,-8.930987459560999,4.0,5114.608
371170,-73.68662364883589,-12.125863067608998,5.0,245.882
2562778,-52.3876921696821,-10.988888892887,6.0,120.536
1210414,-66.09479789882789,-3.748043764810999,4.0,3399.326
1882478,-60.301205451470096,-8.695299914704998,6.0,29.282
2250462,-56.260810052313296,-4.889382523696998,6.0,101.374
304987,-74.2463599541331,-6.353700510718999,6.0,197.941
2781397,-49.6887337780479,-2.2248038915749997,6.0,120.326
966521,-68.2758393642963,1.6073010044170002,6.0,58.793
510170,-72.4063072723515,-11.146013922791,6.0,31.798
2380039,-54.6941917725447,-2.1942518024269995,6.0,117.762
2456153,-53.716261675933495,1.2821394841990004,6.0,76.401
1231389,-65.9114360057133,-13.142811177820999,6.0,137.989
265498,-74.60664998972669,-4.466017859788998,6.0,167.796
715147,-70.57268834120549,-8.795685350477,4.0,12633.328
1261399,-65.6573028556071,-5.376033657982999,5.0,557.551
2702236,-50.657013248705695,-3.435975997084999,6.0,43.925
49454,-76.99035460021649,-5.613903494920999,6.0,37.17
646431,-71.14850902309169,-7.599789289540999,6.0,145.091
1213692,-66.0658460209677,0.13861843323100054,5.0,1921.984
1094065,-67.15958362901969,-5.053054429846998,6.0,30.15
158546,-75.62639946546929,-7.601971581622999,6.0,131.706
2188293,-56.96208887159369,-5.312747187604998,5.0,2314.442
2935921,-46.8353653711593,-10.218539787940998,6.0,142.163
2545138,-52.6096565666103,-6.120195257944999,6.0,58.048
376558,-73.6351536437511,-6.927643328284999,6.0,41.976
806171,-69.7781201377089,-4.535851206413,6.0,127.521
956704,-68.36591187319469,-12.147685988429,6.0,205.013
2666706,-51.100942042562096,-1.9149184159309995,6.0,91.607
1236525,-65.8663997512641,-4.758444998777,6.0,60.323
2490489,-53.301284759937296,-14.286332228788996,6.0,94.213
2503560,-53.1243566174583,-8.856789528772998,6.0,173.298
2202420,-56.807678856339294,-2.2749966094609992,5.0,1003.141
