,x,y,riv_order,upland_drainage_area
2150920,-57.380282662907696,-6.292596332422999,6.0,36.911
1096981,-67.1306317511595,0.8653216965370003,6.0,27.903
2477151,-53.45891165050949,-7.008388135318999,6.0,89.898
1739260,-61.56222057604769,-14.277603060460997,6.0,135.998
837811,-69.4821676084713,-4.568585587642998,6.0,24.608
78103,-76.5850283101737,-8.271935250796998,6.0,21.667
985981,-68.1021280971351,-6.681044323018998,6.0,38.801
220621,-75.0216269057229,0.30229033938100036,6.0,27.261
2548171,-52.574270938114495,-12.379008949120998,6.0,390.999
534730,-72.1618247481987,-2.9536894469629993,6.0,169.581
838106,-69.4789507331535,-3.5167208041189997,6.0,22.496
1421828,-64.3609021025337,-15.159249061588998,6.0,265.951
2833296,-48.9327680783649,-1.864725698044999,6.0,29.607
1981580,-59.2943234769987,-1.6181266927789992,6.0,38.193
2082565,-58.139465237908496,-2.301184114445,6.0,52.548
1664698,-62.1991618889721,-2.3404653719209993,6.0,75.71
1442656,-64.1839739600547,-16.267853439245,6.0,141.91
2229835,-56.498858825830496,-6.600299515984998,6.0,56.716
609523,-71.4637628042361,-0.7757619491269998,6.0,26.615
2046316,-58.5447915279513,-14.111748862229,6.0,63.681
2454420,-53.7355629278403,-1.8843663267829993,6.0,112.848
2529147,-52.802669085678296,-4.413642849820999,6.0,383.949
404293,-73.39710487023389,-12.324451647070997,6.0,42.147
423741,-73.22017672775489,-9.489654232552999,6.0,33.663
310841,-74.19488994904829,0.2586444977410003,6.0,18.031
19025,-77.54365715487809,-6.480273451474998,6.0,50.763
2802555,-49.40243187476369,-14.842816709698997,6.0,247.993
1968493,-59.4262153650285,-1.8188975643229992,6.0,67.367
661259,-71.0230508856975,-6.122377550026998,6.0,94.758
275633,-74.5133606055105,-9.825727213180999,6.0,105.347
2764542,-49.9042644243405,-11.783243210734998,6.0,80.065
1562931,-63.0741519754137,-14.316884317937,6.0,518.96
2484420,-53.38170664288229,0.040415289541000377,6.0,134.591
732446,-70.4214952012689,-0.23237122070899963,6.0,17.602
744786,-70.3217720664171,-5.5287941037229995,6.0,165.151
2368684,-54.8486017877991,-5.467689925426999,6.0,62.605
958902,-68.34339374597009,0.2891965868890005,6.0,49.371
2416689,-54.2116604748747,-2.7812883724849997,6.0,365.751
1677870,-62.08335437753129,-14.408540585380997,6.0,370.004
2598986,-51.9341127498723,-12.097493270542998,6.0,172.344
166736,-75.5427607072065,-9.251784395615,6.0,25.847
706674,-70.6434595981971,-12.918035093375,6.0,8.369
1696362,-61.9225106116413,0.9220612906690002,6.0,45.931
2828388,-49.0067562106743,-7.977325819726998,6.0,88.004
1494985,-63.691792036431295,-2.5979758375969992,6.0,184.419
1992264,-59.168865339604494,-1.1576630634769995,6.0,146.372
1343213,-64.99784341545809,1.2232175979850002,6.0,47.0
1732917,-61.613690581132495,-8.736763464262998,6.0,33.733
2666603,-51.1041589178799,-10.207628327530998,6.0,79.021
1127449,-66.8668479750999,-3.7895073143689992,6.0,49.691
1477771,-63.852635802321295,-8.125721681302998,6.0,454.665
566212,-71.8626553436433,-3.0540748827349993,6.0,162.923
693346,-70.7528333590023,-0.09270452746099966,6.0,16.743
862889,-69.24090195963629,-2.9187727736509994,6.0,33.658
2914721,-47.443354806223496,-11.185295180266998,6.0,82.537
2275247,-55.9712912737113,-7.671804928246999,6.0,220.557
1001312,-67.9638024584697,-10.951789927492998,6.0,115.247
1215151,-66.0561953950143,-15.733191879154997,6.0,190.908
1891280,-60.211132942571695,-6.107101505452999,6.0,57.841
1959972,-59.5162878739269,-14.013545718539,6.0,61.441
1017141,-67.8319105704399,-10.329836684122998,6.0,361.765
1039355,-67.6388980513719,-7.802742453166999,6.0,79.954
2205392,-56.775510103161295,-1.9585642575709996,6.0,169.49
549700,-72.02349910953329,-8.352680057830998,6.0,71.991
2337963,-55.234626825935095,-9.275789608516998,6.0,20.127
18809,-77.5468740301959,-3.267939506770999,6.0,48.865
2932004,-46.9897753864137,-11.831253636538998,6.0,155.912
895435,-68.9352988044453,1.0486342314250003,6.0,21.248
1759548,-61.385292433568694,-6.056908787566998,6.0,133.397
1400304,-64.5378302450127,-12.911488217128998,6.0,231.348
518011,-72.33231914004209,-12.699805885175,6.0,263.318
1507935,-63.5663338990371,-6.192210896650998,6.0,164.1
2537690,-52.696512200190895,-4.527122038084999,6.0,80.678
296298,-74.3235649617603,-1.8734548663729993,6.0,21.454
2455746,-53.722695426569096,-10.916873254180999,6.0,199.007
1428179,-64.3062152221311,-2.910043605322999,6.0,41.376
1879815,-60.3269404540125,-8.385414439060998,6.0,29.52
687484,-70.8010864887693,1.2581342712970005,6.0,25.538
1590006,-62.848970703167694,-13.443967485136998,6.0,255.332
1985495,-59.2428534719139,0.25646220565900046,6.0,69.548
2410446,-54.2952992331375,-11.180930596102998,6.0,61.268
457501,-72.9049229466105,-4.974491914894999,6.0,22.669
805394,-69.78455388834449,-4.577314755970999,6.0,100.346
1815942,-60.909194886534294,-9.066289568644999,6.0,98.562
2181368,-57.03929387922089,0.8718685727830002,6.0,139.727
70063,-76.6944020709789,-4.289252201146999,6.0,195.464
305918,-74.23992620349749,-8.972451009118998,6.0,30.743
1144288,-66.7092210845277,-9.267060440188999,6.0,291.483
1194038,-66.2459910387645,-12.778368400126997,6.0,107.581
108417,-76.20222014735549,-2.0851371983269993,6.0,15.445
2822017,-49.1096962208439,-12.117133899280999,6.0,166.604
1985250,-59.2492872225495,-11.010711813706997,6.0,268.973
309997,-74.20454057500169,-10.083237678856998,6.0,28.319
1141897,-66.7317392117523,-4.891564815778999,6.0,30.798
806355,-69.7781201377089,-12.239342255872998,6.0,30.42
1799164,-61.05073740051749,1.5309207815470005,6.0,169.084
2801897,-49.4088656253993,-13.812774846994998,6.0,195.327
251423,-74.7449756283921,-11.460263982598999,6.0,23.56
1738087,-61.57187120200109,-12.313540186660997,6.0,75.708
1854224,-60.55212172625849,3.4818899028550003,6.0,64.276
1561949,-63.08058572604929,-6.000169193434999,6.0,182.278
446836,-73.0014292061445,-4.219418854522999,6.0,26.117
1204105,-66.14948477923049,-2.9427779865529993,6.0,36.442
664860,-70.99409900783729,-3.0933561402109997,6.0,42.654
1437748,-64.2257933391861,-5.847408747694999,6.0,83.917
1004791,-67.93163370529169,1.3978009645450005,6.0,37.339
198856,-75.2307238013799,-6.8774506103989985,6.0,27.917
2496735,-53.2144291263567,-6.938554788694999,6.0,103.784
2745101,-50.1487469484933,-13.533441460498999,6.0,82.626
1785078,-61.17297866259389,-4.679882483824999,6.0,67.602
1157527,-66.5901966977691,-9.893378267722998,6.0,56.684
1583234,-62.9068744588881,-4.714799157137,6.0,41.502
520819,-72.3033672621819,-13.223555984854997,6.0,80.052
2721048,-50.4318319764597,-9.173221880662998,6.0,86.263
2913173,-47.4819573100371,-6.314419253242999,6.0,49.499
1022206,-67.7868743159907,-0.3851316664489999,6.0,47.009
174916,-75.45912194894369,-1.6530433660909991,6.0,59.864
2921053,-47.2921616662869,-12.555774607762999,6.0,139.932
1547911,-63.20282698812569,-12.156415156757,6.0,234.465
1228994,-65.9307372576201,-7.831112250232998,6.0,41.254
203321,-75.19533817288409,-11.905451567326999,6.0,90.534
436220,-73.1043692163141,-1.9782048863089998,6.0,55.134
940228,-68.52032188844909,-6.545742213934998,6.0,58.002
215990,-75.0666631601721,-7.263716308912999,6.0,127.135
938996,-68.52997251440249,-1.1838505684609992,6.0,28.758
295346,-74.32999871239589,0.4943320425970006,6.0,26.617
999951,-67.9734530844231,1.9892021187670004,6.0,20.809
192083,-75.2886275571003,-2.6809029367129997,6.0,100.354
1018364,-67.8190430691687,2.5435043075950006,6.0,12.009
1284634,-65.4642903365391,-1.6268558611069994,6.0,87.973
1931996,-59.8025897772111,-1.6224912769429998,6.0,32.615
830166,-69.5561557407807,-4.321986582376999,6.0,94.816
2783652,-49.659781900187696,-7.931497686004999,6.0,68.236
2273936,-55.9841587749825,-0.6928348500109993,6.0,419.632
1947604,-59.64496288663889,-13.081706999524997,6.0,36.592
2182793,-57.0232095026319,-0.8434130036689997,6.0,46.79
2088790,-58.071910856234695,-4.413642849820999,6.0,201.579
2773407,-49.7884569128997,-7.161148581058999,6.0,72.633
1047540,-67.56812679438029,-4.8828356474509995,6.0,77.63
990177,-68.0635255933215,-6.8316224766769995,6.0,28.984
1525635,-63.399056382511496,-11.783243210734998,6.0,122.108
1117163,-66.9537036086805,-0.6295483796329999,6.0,140.592
417504,-73.27486360815749,-14.052826976014998,6.0,149.328
1516171,-63.4891288914099,-13.491977910941,6.0,435.146
2239400,-56.3830513143897,-8.411601944044998,6.0,199.22
2220599,-56.6050157113179,-6.214033817470998,6.0,32.009
1210321,-66.09479789882789,-0.5771733696649997,6.0,65.467
2230574,-56.4892081998771,-4.658059563004999,6.0,36.158
823665,-69.61727637181889,-9.328164618485,6.0,148.042
352379,-73.84103366409029,0.13861843323100054,6.0,97.454
247847,-74.77392750625229,-0.46587647348299965,6.0,34.559
2331828,-55.3150487088801,-1.0267255385569993,6.0,81.129
622641,-71.3511721681131,-4.555491835150999,6.0,17.974
2206895,-56.759425726572296,-0.09270452746099966,6.0,258.233
1901572,-60.111409807719895,-7.647799715344998,6.0,32.34
1613963,-62.639873807510696,-1.4391787420549993,6.0,34.12
2353871,-55.0383974315493,-13.732030039961,6.0,122.197
1576401,-62.9615613392907,-8.974633301201,6.0,58.723
2291769,-55.778278754643296,-0.15162641367499985,6.0,102.821
1849998,-60.5907242300721,-4.031741735471,6.0,48.606
2331680,-55.318265584197896,-10.537154431912999,6.0,73.43
620902,-71.36725654470209,-9.847550134000999,6.0,253.929
2340733,-55.196024322121495,-3.8200594035169995,6.0,42.193
552284,-71.9977641069909,-6.870903734152998,6.0,314.911
2309729,-55.578832484939696,-2.9864238281929993,6.0,50.804
1640374,-62.41469253526469,-5.867049376432998,6.0,75.803
876913,-69.1057931962887,-3.8178771114349996,6.0,21.632
721428,-70.5244352114385,-11.486451487582999,6.0,229.135
2889952,-48.019175488109695,-13.734212332042997,6.0,182.458
963252,-68.3047912421565,1.4283530536930003,6.0,28.541
2432979,-53.9961298285821,1.0289936026870001,6.0,144.009
1824791,-60.8255561282715,-1.0245432464749995,6.0,46.358
2005290,-59.020889074985696,-9.295430237255,6.0,101.257
1194723,-66.23955728812889,-11.418800433040998,6.0,75.535
967172,-68.2726224889785,-9.273607316435,6.0,147.643
2395234,-54.4947455028411,-2.977694659864999,6.0,409.391
81884,-76.53677518040669,-7.955502898906998,6.0,21.896
2363196,-54.9161561694729,-4.402731389410999,6.0,56.29
1602256,-62.7460306929981,-10.294920010810998,6.0,80.66
1433606,-64.2611789676819,-2.724548778353,6.0,114.494
706645,-70.6434595981971,-12.036389092247,6.0,22.043
281103,-74.4651074757435,-6.7988880954469995,6.0,27.709
2490668,-53.2980678846195,-10.648451328094998,6.0,70.038
1253478,-65.7248572372809,-1.4239026974809996,6.0,32.189
624787,-71.3318709162063,-1.308241217134999,6.0,16.739
348334,-73.87320241726829,1.2341290583950002,6.0,47.643
2221774,-56.5921482100467,-11.700316111618998,6.0,91.212
2401894,-54.4111067445783,-13.646920648762997,6.0,298.973
1950548,-59.6160110087787,-10.582982565634998,6.0,81.016
258258,-74.6806381220361,-10.172711654218999,6.0,22.395
2699983,-50.6859651265659,-9.926112648952998,6.0,97.275
1580612,-62.926175710794894,-7.412112170488999,6.0,31.079
1550738,-63.177091985583296,-4.040470903798999,6.0,170.019
1057290,-67.4812711607997,1.9237333563070003,6.0,122.715
1390866,-64.6150352526399,0.3852174384970004,6.0,183.314
2508416,-53.0664528617379,-9.616227173308998,6.0,46.984
784128,-69.9775664074125,-2.667809184220999,6.0,18.226
1501658,-63.62423765475749,-3.501444759544999,6.0,45.638
745476,-70.31533831578149,-1.9476527971609996,6.0,31.322
1655029,-62.2860175225527,-2.2291684757389993,6.0,46.974
2525868,-52.8477053401275,-0.32839207231699996,6.0,183.528
2276676,-55.955206897122295,-8.876430157510999,6.0,124.914
368253,-73.70914177606049,-4.734439785874999,6.0,22.462
2247169,-56.29619568080909,-8.743310340508998,6.0,126.042
352532,-73.84103366409029,-4.972309622812999,6.0,39.776
1618103,-62.6077050543327,-4.7060699888089985,6.0,60.547
1789159,-61.1343761587803,3.019243981471,6.0,477.97
1150085,-66.6545342041251,-8.293758171616998,6.0,302.004
613087,-71.43481092637589,-3.1282728135229996,6.0,15.432
1656058,-62.2763668965993,-5.181809662685,6.0,181.482
99985,-76.3083770328429,-2.1244184558029997,6.0,14.801
2727049,-50.357843844150295,-1.530835009498999,6.0,39.268
524352,-72.2647647583683,-4.721346033382998,6.0,44.499
2269508,-56.038845655385096,-7.082586066106998,6.0,70.506
2196472,-56.875233238013095,-3.6411114527929995,6.0,115.457
2782651,-49.6726494014589,-3.4206999525109993,6.0,166.483
943073,-68.4913700105889,1.2035769692470004,6.0,30.475
864615,-69.2248175830473,-5.336752400506999,6.0,32.486
2485739,-53.3688391416111,-14.884280259256997,6.0,54.151
1902118,-60.1049760570843,-4.2150542703589995,6.0,35.964
770380,-70.09659079417109,-1.6181266927789992,6.0,49.565
2186333,-56.981390123500496,0.13643614114900027,6.0,38.209
645195,-71.15815964904509,-1.864725698044999,6.0,40.978
2263042,-56.116050663012295,-5.1294346527169985,6.0,35.061
1930455,-59.82189102911789,-14.410722877462998,6.0,433.218
1177767,-66.39396730338329,-11.772331750324998,6.0,146.637
1108254,-67.0309086163077,-5.325840940096999,6.0,36.334
2139422,-57.5025239249841,-2.7812883724849997,6.0,156.938
809125,-69.75238513516649,-6.735601625068998,6.0,103.601
1224631,-65.9693397614337,-15.490957458052996,6.0,50.884
111456,-76.16683451885969,-6.846898521250999,6.0,179.021
2694331,-50.756736383557495,-4.954851286156998,6.0,386.161
1943398,-59.6867822657703,-4.730075201710999,6.0,284.469
444252,-73.0271642086869,-9.042284355742998,6.0,147.284
1573599,-62.9840794665153,-11.239852482316998,6.0,220.825
1058758,-67.46840365952849,1.0988269493110003,6.0,23.608
1513345,-63.514863893952295,-11.940368240638998,6.0,305.243
1610070,-62.672042560688695,1.0158998501950003,6.0,288.229
895785,-68.9352988044453,-14.297243689198996,6.0,269.255
2916924,-47.3951016764565,-9.367445875960998,6.0,65.225
2427444,-54.0733348362093,-10.637539867684998,6.0,61.818
435466,-73.11080296694969,-3.446887457494999,6.0,37.927
732058,-70.42792895190449,-7.145872536484999,6.0,239.786
1181780,-66.3553647995697,-2.323007035265,6.0,43.539
1685307,-62.019016871175296,-3.246116585950999,6.0,141.438
753228,-70.25100080942549,-7.296450690142999,6.0,71.534
1158828,-66.5773291964979,-3.5385437249389997,6.0,40.92
2568849,-52.3104871620549,-8.468341538176999,6.0,167.962
