coordinates,riv_order,upland_drainage_area
"(-63.13126, -7.59362)",6,95.313
"(-63.76871, -8.14371)",6,279.37
"(-63.77149, -8.75459)",6,21.64
"(-63.96741, -8.78489)",2,978811.187
"(-63.079939, -9.206753)",6,19.069
"(-63.55071, -9.77887)",6,63.873
"(-65.01914, -10.84058)",6,98.458
"(-64.8498, -11.52678)",6,230.48
"(-65.641807, -11.38735)",6,181.333
"(-66.29088, -11.2701)",3,115671.382
"(-60.61761, -12.63186)",6,63.469
"(-60.183169, -12.711776)",6,193.632
"(-59.243677, -13.010692)",4,5075.783
"(-59.14267, -11.850006)",6,50.852
"(-58.81863, -11.93754)",6,57.546
"(-58.70756, -12.12761)",4,28923.795
"(-58.85706, -12.25758)",4,16314.972
"(-61.79188, -8.34088)",6,25.486
"(-61.16225, -8.57487)",5,277.86
"(-69.94571, -13.00353)",5,651.769
"(-69.91165, -12.79259)",6,49.602
"(-70.56169, -12.75633)",6,11.516
"(-70.53856, -13.03631)",6,9.201
"(-69.5061, -12.65767)",3,55827.844
"(-70.1724, -12.57479)",3,29417.225
"(-69.58123, -10.95247)",5,2914.982
"(-72.7019, -7.619713)",4,6993.685
"(-57.9247, -6.9593)",6,28.98
"(-57.8147, -7.0928)",5,368.887
"(-57.6459, -7.2066)",6,29.603
"(-56.7329, -7.6394)",6,20.423
"(-56.7568, -7.52052)",5,670.082
"(-57.138241, -7.399314)",5,482.006
"(-56.765788, -7.324262)",5,1240.913
"(-57.021554, -7.276293)",5,276.321
"(-56.874902, -7.209033)",6,29.388
"(-56.683158, -7.087677)",6,190.408
"(-56.48753, -6.97685)",6,73.073
"(-56.74123, -6.914585)",5,254.217
"(-56.433378, -6.872865)",6,61.165
"(-56.21821, -6.73095)",5,1270.134
"(-56.752056, -6.640646)",5,496.464
"(-56.30082, -6.53955)",6,143.523
"(-56.264596, -6.265658)",6,227.203
"(-56.32718, -5.99702)",5,2274.62
"(-56.55625, -5.91454)",6,40.141
"(-56.28545, -5.79026)",4,3236.242
"(-56.46659, -5.70437)",6,86.502
"(-56.75172, -5.58168)",5,1336.664
"(-57.05479, -5.75776)",5,939.429
"(-57.402111, -6.086262)",6,30.951
"(-57.38551, -5.79869)",6,221.629
"(-57.16256, -5.53322)",6,223.926
"(-57.50635, -5.2318)",5,656.1
"(-57.47438, -4.99655)",5,2314.939
"(-56.93205, -5.3431)",5,2225.744
"(-58.08895, -6.02297)",5,366.504
"(-56.92251, -6.05201)",6,112.91
"(-57.45212, -6.47286)",4,4462.404
"(-56.537, -6.29224)",6,236.786
"(-54.99671, -6.55599)",6,416.827
