coordinates,riv_order,upland_drainage_area
"(-70.58552, -12.90615)",5,421.831
"(-70.472921, -13.014572)",6,31.999
"(-70.356254, -12.916085)",3,18873.94
"(-70.49878, -12.76038)",5,779.017
"(-70.394983, -12.609206)",3,28420.791
"(-70.576052, -12.490622)",3,24099.941
"(-70.75212, -12.33968)",4,21513.398
"(-70.919114, -12.264955)",4,21234.646
"(-71.04801, -12.37291)",4,7528.232
"(-71.13625, -12.47287)",4,7365.572
"(-70.99307, -12.20543)",4,12958.144
"(-70.20594, -12.80625)",3,19066.047
"(-69.972932, -12.847914)",6,16.114
"(-69.818717, -12.752055)",3,19709.842
"(-70.15039, -13.056231)",5,290.377
"(-70.275168, -13.133171)",6,38.046
"(-70.187581, -13.13758)",6,45.772
"(-70.03671, -13.090847)",5,129.387
"(-69.92204, -13.20958)",5,201.632
"(-69.63957, -13.265177)",4,8077.668
"(-69.840221, -13.256233)",5,173.802
"(-69.597931, -12.695755)",3,9471.682
"(-69.431211, -12.60208)",3,56079.238
"(-69.059026, -12.558963)",3,91264.703
"(-68.807919, -12.510397)",3,94067.664
"(-68.58044, -12.47212)",3,98660.539
"(-65.37607, -10.35617)",2,919870.687
"(-65.410422, -10.597981)",3,614992.875
"(-65.70073, -10.56436)",3,281646.218
"(-67.095, -11.3455)",3,120177.226
"(-67.509962, -11.477547)",3,106378.976
"(-67.96469, -11.84366)",3,104131.656
"(-66.894223, -12.260864)",3,97936.008
"(-66.227073, -11.324219)",3,115635.781
"(-67.06836, -13.03114)",5,82819.82
"(-68.819349, -12.806231)",5,2997.349
"(-68.855348, -13.042795)",5,2332.092
"(-68.89204, -13.404521)",5,850.039
"(-68.94757, -13.53499)",5,593.481
"(-69.066729, -13.525072)",6,56.558
"(-69.230586, -13.394493)",6,117.108
"(-69.30625, -13.37643)",6,64.936
"(-69.35161, -13.48596)",5,4727.608
"(-67.36756, -13.60912)",4,75602.375
"(-67.54394, -14.41456)",4,70264.383
"(-67.6829, -15.09637)",4,53233.445
"(-67.68079, -15.29011)",4,20944.889
"(-67.40469, -14.82961)",5,2227.148
"(-68.12925, -13.83342)",6,308.957
"(-68.348497, -13.22708)",5,4400.539
"(-68.74545, -13.6336)",5,2112.791
"(-68.425647, -13.871493)",6,346.194
"(-67.528284, -12.832488)",4,9770.047
"(-65.33094, -16.89335)",4,5040.047
"(-65.442675, -17.05207)",5,2360.92
"(-65.28543, -16.6895)",4,5559.518
"(-65.46364, -16.6739)",5,579.356
"(-65.5464, -16.78794)",5,219.807
"(-65.458728, -16.862814)",6,33.685
"(-65.29377, -16.99782)",5,285.839
"(-65.189593, -17.074349)",5,1797.945
"(-65.74889, -16.60216)",6,116.023
"(-65.872942, -16.526727)",6,168.69
"(-65.9313, -16.37556)",5,1192.857
"(-65.734964, -16.314115)",5,168.017
"(-65.639611, -16.331242)",5,272.652
"(-65.49872, -16.272918)",5,936.151
"(-65.640777, -16.663442)",5,1051.651
"(-65.206223, -16.256284)",4,8803.273
"(-65.41229, -16.50438)",4,2211.671
"(-65.266392, -16.554529)",4,5811.264
"(-65.145314, -16.766106)",5,737.508
"(-64.97309, -16.81868)",4,2488.173
"(-64.79614, -16.96028)",5,2311.833
"(-64.85161, -17.20935)",5,1913.802
"(-64.985397, -17.166958)",6,28.503
"(-64.66989, -17.01464)",5,4298.583
"(-64.664586, -17.20198)",6,104.734
"(-64.76171, -16.65479)",4,11355.627
"(-64.69573, -16.37675)",4,14726.103
"(-64.2298, -17.289)",5,1877.866
"(-63.9891, -17.1626)",5,7203.387
"(-64.05073, -17.43689)",6,218.452
"(-62.73363, -17.353945)",4,67826.32
"(-63.4145, -17.43904)",6,759.926
"(-63.34186, -17.35845)",5,1019.058
"(-63.74962, -17.45367)",6,901.835
"(-64.69163, -15.83749)",4,106368.976
"(-64.87886, -16.18307)",4,1503.968
"(-64.71318, -16.02436)",4,16738.348
"(-64.7929, -15.48495)",3,127292.64
"(-64.92727, -15.23202)",3,129825.726
"(-65.04794, -14.85616)",3,151950.062
"(-65.02457, -14.25779)",3,173250.265
"(-65.30731, -13.7218)",3,180153.531
"(-65.03621, -13.03203)",3,222257.203
"(-65.16056, -12.40601)",3,234027.328
"(-65.0938, -11.7063)",3,590266.562
"(-61.90451, -13.42938)",4,88631.039
"(-48.47723, -11.35644)",3,150438.781
"(-60.69536, -13.70364)",4,46145.633
"(-63.0376, -8.1747)",2,1013135.31
"(-63.54954, -8.47865)",2,980173.125
"(-62.75214, -7.01451)",2,1094791.25
"(-60.6896, -5.30599)",2,1162749.25
"(-59.92588, -4.60902)",2,1315605.25
"(-58.92872, -3.57425)",2,1321319.12
"(-58.70751, -3.36878)",2,1368809.75
"(-57.80219, -2.7479)",1,4323224
"(-57.24957, -2.59109)",1,4394235
"(-56.08565, -2.07741)",1,4533045.5
"(-54.98127, -2.16056)",1,4696643
"(-59.97001, -3.25732)",2,2216585.75
"(-61.50075, -3.67546)",2,1815639.75
"(-62.41062, -3.82721)",2,1791228.87
"(-64.55884, -3.39559)",2,1459140
"(-64.71352, -3.28223)",2,1434680.37
"(-63.43935, -3.85634)",2,1736358.75
"(-65.23862, -2.76549)",2,1425740.5
"(-66.87752, -2.68583)",2,1150550.62
"(-67.92539, -3.08793)",2,1142072.5
"(-68.04782, -3.34813)",2,1019956.5
"(-68.81064, -2.90205)",3,116017.085
"(-69.78963, -2.74374)",3,99131.602
"(-70.04382, -2.75226)",3,87653.117
"(-68.9186, -3.44369)",2,1001919.18
"(-69.41803, -4.17206)",2,993320.125
"(-70.18134, -3.94599)",2,880115.25
"(-70.26969, -4.58002)",3,37098.238
"(-70.8241, -4.23669)",3,62390.586
"(-74.93124, -7.88544)",2,284469.593
"(-73.72699, -10.85108)",3,131868.437
"(-73.814616, -10.677105)",3,191632.437
"(-71.73838, -11.63655)",4,4597.543
"(-71.336428, -11.96144)",5,832.093
"(-71.590516, -12.003042)",6,226.89
"(-71.724643, -12.008027)",5,1094.409
"(-71.766559, -12.187378)",5,363.049
"(-71.466274, -12.310393)",5,199.628
"(-72.04889, -11.83222)",5,570.617
"(-72.06373, -11.97386)",5,351.148
"(-72.84376, -12.18119)",4,29827.357
"(-73.02302, -11.66474)",3,34525.234
"(-72.81106, -11.81007)",5,1331.027
"(-70.78125, -11.36458)",4,6054.845
"(-70.4313, -11.61465)",4,7042.132
"(-70.38127, -11.71385)",4,8454.978
"(-70.16326, -11.88673)",4,11536.512
"(-69.414645, -12.14379)",4,14269.51
"(-69.834618, -12.052097)",4,12342.175
"(-69.768774, -11.368746)",5,5904.584
"(-70.35513, -11.25335)",5,3700.09
"(-69.0731, -11.42704)",4,8248.26
"(-68.78939, -11.3354)",4,11046.678
"(-68.46157, -11.25506)",4,13551.012
"(-68.11365, -11.2865)",4,14563.695
"(-67.85433, -11.18076)",4,15195.956
"(-67.701987, -11.139697)",4,15524.28
"(-67.11826, -11.02339)",4,31460.41
"(-66.14375, -10.91448)",3,125468
"(-64.68979, -9.29374)",2,962361.25
"(-67.06034, -7.8098)",3,154047.484
"(-66.10252, -7.66488)",3,167327.812
"(-65.12369, -7.34332)",3,182513.109
"(-63.71101, -5.6479)",3,320039.25
"(-64.30778, -6.34474)",3,251406.39
"(-70.51591, -9.45617)",4,15968.802
"(-69.76885, -9.10621)",4,30661.309
"(-60.5801, 2.87824)",3,93469.805
"(-60.40042, 3.23375)",4,41692.492
"(-61.01451, 2.13545)",3,124711.906
"(-71.5151, -2.28)",3,76494.281
"(-73.50603, -2.67096)",3,86692.977
"(-71.90784, -3.36558)",2,857265.812
"(-75.69921, -5.22215)",3,85912.648
"(-73.83524, -4.60639)",2,363556.75
"(-72.37304, -7.38144)",3,40420.426
"(-70.60501, -6.80725)",3,73217.945
"(-70.23668, -7.51156)",4,21991.459
"(-70.40952, -7.56356)",4,21524.602
"(-70.75977, -8.16397)",4,15650.331
"(-70.58453, -8.8446)",4,12551.455
"(-76.81291, -0.44365)",3,18323.519
"(-76.37693, -0.51861)",3,20449.066
"(-75.54385, -0.78947)",3,22869.092
"(-76.39847, -2.89687)",3,23296.621
"(-77.08127, -2.36885)",4,15586.453
"(-77.80685, -3.16115)",4,25321.826
"(-77.2067, -4.06494)",4,14413.594
"(-76.28122, -5.87281)",4,3109.173
"(-76.52296, -5.78115)",5,688.835
"(-76.32761, -6.15212)",5,659.019
"(-76.15431, -6.28356)",5,488.956
"(-75.0585, -6.1449)",2,312351.968
"(-74.78945, -3.46443)",3,23221.063
"(-67.83111, -6.03177)",3,153816.39
"(-66.74686, -4.77031)",3,164627.875
"(-74.98536, 0.41255)",3,26805.637
"(-53.35941, -12.06346)",4,43925.047
"(-52.89372, -13.06021)",4,13651.763
"(-50.52799, -12.83597)",3,119578.898
"(-51.68289, -15.34219)",3,62931.332
"(-49.6073, -3.4796)",2,763960.062
"(-48.74714, -6.69707)",3,362980.281
"(-57.28699, -5.6701)",2,381216.687
"(-68.978067, 1.231253)",4,2893.683
"(-56.33724, -5.85368)",5,2908.278
"(-56.293754, -6.113047)",5,1858.178
"(-56.86582, -6.73011)",4,6339.733
"(-57.496558, -6.149284)",6,117.376
"(-57.96478, -6.38116)",2,349778.5
"(-58.17303, -7.25248)",3,333912.062
"(-58.41453, -8.51863)",3,175064.906
"(-61.57291, -9.03271)",3,52445.738
"(-53.6014, -1.8486)",1,5272878.5
"(-52.16098, -1.62776)",3,512139.187
"(-49.41082, -2.2685)",2,768030.187
"(-48.131285, -8.31144)",3,244836.953
"(-48.37299, -9.51304)",3,187609.046
"(-50.442, -10.37503)",3,221336.125
"(-52.689586, -16.347914)",4,16627.031
"(-53.376998, -15.94786)",4,5872.029
"(-51.88133, -15.82464)",4,37940.137
"(-52.59775, -3.98176)",3,303230.031
"(-52.8852, -5.2113)",3,286302.281
"(-51.90616, -2.88945)",6,56.17
"(-51.62712, -3.22918)",3,483237
"(-52.76906, -7.91412)",1,195289.25
"(-63.81935, -12.95576)",4,74646.289
"(-62.85504, -12.91879)",4,110192.015
"(-63.17281, -12.63938)",3,120221.187
"(-57.61046, -8.74372)",3,133541.796
"(-57.66029, -8.25184)",3,136927.078
"(-66.71606, -11.56577)",3,108988.007
"(-68.22724, -12.0826)",3,103180.242
"(-65.91334, -15.93106)",4,3117.196
"(-66.09715, -16.0352)",5,2573.57
"(-66.26793, -16.01858)",5,1467.399
"(-66.38865, -15.84054)",5,914.311
"(-66.73132, -15.43114)",5,1984.669
"(-66.8846, -15.11415)",5,3317.06
"(-66.66056, -14.76904)",5,3771.131
"(-67.00163, -15.7729)",4,15962.667
"(-60.33546, -6.26978)",3,136946.656
"(-61.673, -5.9885)",2,1135232.25
"(-69.4606, -1.24812)",2,149763.265
"(-65.87293, -1.74367)",2,253602.14
"(-68.0899, -1.64789)",2,229314.859
"(-72.40625, -0.59386)",3,68654.398
"(-74.09851, -1.03941)",3,29274.199
"(-74.61573, -2.15624)",3,24407.373
"(-74.12495, -2.15847)",3,53008.395
"(-77.99598, -4.63349)",3,76495.672
"(-76.89646, -4.83297)",3,140583.656
"(-76.15211, -4.97722)",3,192106.578
"(-77.38795, -4.502)",3,115154.187
"(-74.86725, -1.28711)",3,45398.125
"(-75.3991, -1.55517)",3,15561.994
"(-76.94332, -1.3771)",4,3560.865
"(-77.46363, -2.10528)",4,13812.304
"(-61.281, 1.3505)",3,133812.609
"(-61.62795, 0.53943)",3,156742.546
"(-61.83137, -0.41462)",3,180124.843
"(-61.8428, -1.2535)",3,190789.218
"(-61.21073, -2.06415)",2,682217.875
"(-62.8096, -1.02388)",2,379978.593
"(-62.88669, -1.72417)",4,6046.675
"(-63.8188, -1.6994)",4,4090.477
"(-64.17328, -0.34333)",2,299220.812
"(-67.2925, 0.05088)",3,64370.41
"(-65.47876, -0.30107)",2,250997.546
"(-66.84386, -1.81877)",2,249118.406
"(-70.68111, -1.44357)",3,133710.546
"(-68.83544, 0.43134)",3,41379.063
"(-75.2394, -7.2003)",2,296675.937
"(-76.7665, -7.78785)",3,28620.457
"(-76.09414, -9.01843)",4,14097.158
"(-74.41703, -9.17095)",3,211978.937
"(-72.72131, -8.98294)",4,12941.376
"(-72.68126, -9.759)",4,5016.535
"(-74.01884, -10.07249)",3,200982.203
"(-74.05201, -12.16446)",3,99674.664
"(-73.522437, -12.939027)",3,60450.879
"(-71.36568, -12.86769)",4,5759.916
"(-67.64354, -8.84434)",3,68356.219
"(-71.31133, -10.48056)",4,6873.3
"(-69.832105, -10.930446)",5,2119.555
"(-68.922889, -11.014554)",5,6609.487
"(-60.83119, -9.84787)",4,11486.147
"(-60.689181, -9.285835)",4,39177.918
"(-60.94763, -10.2558)",4,9126.039
"(-62.178729, -11.282827)",5,1807.095
"(-61.806256, -10.587012)",4,36742.094
"(-61.874768, -10.200225)",4,39289.023
"(-61.91458, -9.78085)",3,48688.32
"(-60.643511, -10.156508)",4,22906.764
"(-58.55633, -8.94536)",3,163980.875
"(-57.67723, -8.17285)",3,137122.203
"(-55.939648, -9.635371)",3,81579.047
"(-53.098, -10.6042)",3,140787.406
"(-52.35346, -8.59643)",3,185392.171
"(-52.597058, -9.65204)",3,155073.234
"(-52.98815, -10.31446)",3,144501.453
"(-52.46202, -6.30886)",3,264470.937
"(-51.62324, -7.1687)",4,26683.375
"(-56.193157, -0.852081)",4,32533.356
"(-56.0396, -0.33952)",4,28997.238
"(-63.45856, 0.08771)",5,3204.691
"(-63.68544, 0.27305)",5,2860.813
"(-61.344071, 0.039312)",4,14360.958
"(-61.7532, 0.13277)",3,178923.593
"(-62.78145, -0.36875)",4,22232.922

